Classe2;Sample.ID;LD1;LD2;LD3;LD4
BIOGAS;17;0.5392023567646589;0.19684659464489987;-2.077654160117583;0.9805675386651249
BIOGAS;17;0.03189694744200839;-0.07947684864586593;-1.6238433091931577;1.1589927468472347
BIOGAS;17;0.5270659002418263;0.2727620503203061;-1.5898134817893805;2.1756294321470206
FORSU;2;-0.24891821540342074;2.3940881263339864;-3.3446275216052195;-1.909770971021799
FORSU;35;-1.6514918031699943;1.5996093297536138;1.9427901343579825;-0.16216085591746282
FORSU;35;-1.4829039950069511;1.5576658872260285;0.79301223047982;-1.172917675852211
FORSU;35;-1.2981222872455347;1.842754682871308;0.8226855822641556;-0.2678797869662045
FORSU;35;-0.9733579012760167;1.8211982497066932;1.3914524423861196;0.8380220069764632
FORSU;35;-1.3808261495823433;2.5336797026879494;0.2192668214213756;-1.7011775830491067
FORSU;15;-0.8162271692391302;1.6884134184293877;-2.4043709082025773;-1.2506670492357097
FORSU;3;-1.0676783121340097;2.3390387797239893;1.2875626986970061;0.4316954188159602
FORSU;47;-0.5130583030861753;-0.4909759336073831;0.9115127032254884;-0.9142106274039592
FORSU;15;-0.7661469424418597;-0.376603716698096;-1.430932159734386;-1.0065735307805528
FORSU;3;-0.6462819344768469;1.2450437432705044;-1.7248973667886216;-1.3777241533893907
FORSU;15;-0.35837088511042;-1.6528823827736476;0.30715013870051333;-0.1120113622850015
FORSU;14;-1.009250102370773;0.5941533610388416;-1.9996153912519365;0.2436747640734951
FORSU;14;-0.9516454859931137;1.298973758038099;-1.509203851368892;1.7336652127640888
FORSU;14;-0.5653201975263684;0.19908095787355942;-2.2669174281897386;-1.0891303168707107
FORSU;14;-0.2624225014759952;-1.6413304379230806;-0.5873305337793645;-0.15360893212082005
FORSU;15;-0.7016789655563826;0.5269963567522812;-1.7267384100786431;-1.094306616386602
FORSU;19;-1.1818774196507693;-0.5292050228197254;-1.60724161911783;0.3076042514703876
FORSU;19;-0.9354727968109193;0.44524119943958856;-1.457809166228314;1.9134495241629346
FORSU;19;-0.9386593190920379;1.1291883848210944;-1.3761596856232137;0.7961332375987661
FORSU;20;-1.068384654164214;1.125024915541128;-1.201286970548484;0.7279332587966277
FORSU;2;-0.8959153183905761;2.2339206263265563;-0.9867605971844609;-0.006317314704600928
FORSU;20;-0.7568696209704703;0.7692818224510686;-1.2731934506886993;0.9955929324225138
FORSU;10;-0.7890718275176515;0.89970188612587;-1.3992848858506044;-0.4319222494486967
FORSU;20;-1.4603176221010048;0.28513066188295993;-2.0492031003068174;0.13357690516560777
FORSU;47;-0.1478923215519648;-1.635619995409987;-0.4134681367341773;-0.9655375518176037
